Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
SUUR0000SAF11,2000,M01,2000 Jan,100.6,0.6,N/A,N/A,N/A
SUUR0000SAF11,2000,M02,2000 Feb,100.6,0.0,N/A,N/A,N/A
SUUR0000SAF11,2000,M03,2000 Mar,100.7,0.1,0.7,N/A,N/A
SUUR0000SAF11,2000,M04,2000 Apr,100.8,0.1,0.2,N/A,N/A
SUUR0000SAF11,2000,M05,2000 May,101.3,0.5,0.7,N/A,N/A
SUUR0000SAF11,2000,M06,2000 Jun,101.0,-0.3,0.3,1.0,N/A
SUUR0000SAF11,2000,M07,2000 Jul,101.4,0.4,0.6,0.8,N/A
SUUR0000SAF11,2000,M08,2000 Aug,101.7,0.3,0.4,1.1,N/A
SUUR0000SAF11,2000,M09,2000 Sep,101.9,0.2,0.9,1.2,N/A
SUUR0000SAF11,2000,M10,2000 Oct,101.9,0.0,0.5,1.1,N/A
SUUR0000SAF11,2000,M11,2000 Nov,101.6,-0.3,-0.1,0.3,N/A
SUUR0000SAF11,2000,M12,2000 Dec,102.4,0.8,0.5,1.4,2.4
SUUR0000SAF11,2001,M01,2001 Jan,103.1,0.7,1.2,1.7,2.5
SUUR0000SAF11,2001,M02,2001 Feb,103.4,0.3,1.8,1.7,2.8
SUUR0000SAF11,2001,M03,2001 Mar,103.5,0.1,1.1,1.6,2.8
SUUR0000SAF11,2001,M04,2001 Apr,103.6,0.1,0.5,1.7,2.8
SUUR0000SAF11,2001,M05,2001 May,103.9,0.3,0.5,2.3,2.6
SUUR0000SAF11,2001,M06,2001 Jun,104.1,0.2,0.6,1.7,3.1
SUUR0000SAF11,2001,M07,2001 Jul,104.2,0.1,0.6,1.1,2.8
SUUR0000SAF11,2001,M08,2001 Aug,104.2,0.0,0.3,0.8,2.5
SUUR0000SAF11,2001,M09,2001 Sep,104.3,0.1,0.2,0.8,2.4
SUUR0000SAF11,2001,M10,2001 Oct,104.9,0.6,0.7,1.3,2.9
SUUR0000SAF11,2001,M11,2001 Nov,104.6,-0.3,0.4,0.7,3.0
SUUR0000SAF11,2001,M12,2001 Dec,104.6,0.0,0.3,0.5,2.1
SUUR0000SAF11,2002,M01,2002 Jan,105.4,0.8,0.5,1.2,2.2
SUUR0000SAF11,2002,M02,2002 Feb,105.3,-0.1,0.7,1.1,1.8
SUUR0000SAF11,2002,M03,2002 Mar,105.4,0.1,0.8,1.1,1.8
SUUR0000SAF11,2002,M04,2002 Apr,105.6,0.2,0.2,0.7,1.9
SUUR0000SAF11,2002,M05,2002 May,105.0,-0.6,-0.3,0.4,1.1
SUUR0000SAF11,2002,M06,2002 Jun,104.5,-0.5,-0.9,-0.1,0.4
SUUR0000SAF11,2002,M07,2002 Jul,104.6,0.1,-0.9,-0.8,0.4
SUUR0000SAF11,2002,M08,2002 Aug,104.3,-0.3,-0.7,-0.9,0.1
SUUR0000SAF11,2002,M09,2002 Sep,104.6,0.3,0.1,-0.8,0.3
SUUR0000SAF11,2002,M10,2002 Oct,104.5,-0.1,-0.1,-1.0,-0.4
SUUR0000SAF11,2002,M11,2002 Nov,104.6,0.1,0.3,-0.4,0.0
SUUR0000SAF11,2002,M12,2002 Dec,104.8,0.2,0.2,0.3,0.2
SUUR0000SAF11,2003,M01,2003 Jan,105.2,0.4,0.7,0.6,-0.2
SUUR0000SAF11,2003,M02,2003 Feb,105.6,0.4,1.0,1.2,0.3
SUUR0000SAF11,2003,M03,2003 Mar,105.7,0.1,0.9,1.1,0.3
SUUR0000SAF11,2003,M04,2003 Apr,105.4,-0.3,0.2,0.9,-0.2
SUUR0000SAF11,2003,M05,2003 May,105.8,0.4,0.2,1.1,0.8
SUUR0000SAF11,2003,M06,2003 Jun,106.3,0.5,0.6,1.4,1.7
SUUR0000SAF11,2003,M07,2003 Jul,106.2,-0.1,0.8,1.0,1.5
SUUR0000SAF11,2003,M08,2003 Aug,106.6,0.4,0.8,0.9,2.2
SUUR0000SAF11,2003,M09,2003 Sep,106.9,0.3,0.6,1.1,2.2
SUUR0000SAF11,2003,M10,2003 Oct,107.5,0.6,1.2,2.0,2.9
SUUR0000SAF11,2003,M11,2003 Nov,107.7,0.2,1.0,1.8,3.0
SUUR0000SAF11,2003,M12,2003 Dec,108.6,0.8,1.6,2.2,3.6
SUUR0000SAF11,2004,M01,2004 Jan,108.6,0.0,1.0,2.3,3.2
SUUR0000SAF11,2004,M02,2004 Feb,108.6,0.0,0.8,1.9,2.8
SUUR0000SAF11,2004,M03,2004 Mar,108.7,0.1,0.1,1.7,2.8
SUUR0000SAF11,2004,M04,2004 Apr,108.6,-0.1,0.0,1.0,3.0
SUUR0000SAF11,2004,M05,2004 May,110.0,1.3,1.3,2.1,4.0
SUUR0000SAF11,2004,M06,2004 Jun,109.9,-0.1,1.1,1.2,3.4
SUUR0000SAF11,2004,M07,2004 Jul,109.7,-0.2,1.0,1.0,3.3
SUUR0000SAF11,2004,M08,2004 Aug,109.4,-0.3,-0.5,0.7,2.6
SUUR0000SAF11,2004,M09,2004 Sep,109.2,-0.2,-0.6,0.5,2.2
SUUR0000SAF11,2004,M10,2004 Oct,110.2,0.9,0.5,1.5,2.5
